Quantity,Weight,Cost
1.00,9002.70,9010.35
1.00,450.13,450.52
1.00,5001.50,5005.75
90.09,20003.00,1802070.03
2933.93,8001.20,23474965.55
483.48,9305.39,4498999.97
231.23,1440.22,333022.54
64.06,203.03,13006.94
4.00,10001.50,40046.00
4.00,10001.50,40046.00
4.00,10001.50,40046.00
2.00,12001.80,24027.60
4.00,900.13,3604.14
4.00,100.01,400.46
2.00,1400.21,2803.22
230.23,61469.10,14152030.17
140.14,2000.30,280322.00
1591.59,4900.73,7799959.77
1.00,10001.50,10011.50
1.00,12001.80,12013.80
2.00,10001.50,20023.00
2.00,12001.80,24027.60
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.71,490232.55
1.00,8001.20,8009.20
1.00,9001.35,9010.35
1.00,450.07,450.52
1.00,5000.75,5005.75
90.08,20006.00,1802069.99
2933.49,8002.40,23474965.02
483.41,9306.79,4498999.87
231.20,1440.43,333022.53
64.05,203.06,13006.94
4.00,10003.00,40046.00
4.00,10003.00,40046.00
4.00,10003.00,40046.00
2.00,12003.60,24027.60
4.00,900.27,3604.14
4.00,100.03,400.46
2.00,1400.42,2803.22
230.20,61478.32,14152029.85
140.12,2000.60,280322.00
1591.35,4901.47,7799959.59
1.00,10003.00,10011.50
1.00,12003.60,12013.80
2.00,10003.00,20023.00
2.00,12003.60,24027.60
2.00,800.24,1601.84
2.00,1200.36,2402.76
1.00,1400.42,1401.61
4.00,122454.08,490232.54
1.00,8002.40,8009.20
1.00,9002.70,9010.35
1.00,450.13,450.52
1.00,5001.50,5005.75
90.09,20003.00,1802069.95
2933.93,8001.20,23474964.49
483.48,9305.39,4498999.77
231.23,1440.22,333022.53
64.06,203.03,13006.94
4.00,10001.50,40046.00
4.00,10001.50,40046.00
4.00,10001.50,40046.00
2.00,12001.80,24027.60
4.00,900.13,3604.14
4.00,100.01,400.46
2.00,1400.21,2803.22
230.23,61469.10,14152029.53
140.14,2000.30,280321.99
1591.59,4900.73,7799959.41
1.00,10001.50,10011.50
1.00,12001.80,12013.80
2.00,10001.50,20023.00
2.00,12001.80,24027.60
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.71,490232.53
1.00,8001.20,8009.20
1.00,9001.35,9010.35
1.00,450.07,450.52
1.00,5000.75,5005.75
90.08,20006.00,1802069.91
2933.49,8002.40,23474963.96
483.41,9306.79,4498999.67
231.20,1440.43,333022.52
64.05,203.06,13006.94
4.00,10003.00,40046.00
4.00,10003.00,40046.00
4.00,10003.00,40046.00
2.00,12003.60,24027.60
4.00,900.27,3604.14
4.00,100.03,400.46
2.00,1400.42,2803.22
230.20,61478.32,14152029.22
140.12,2000.60,280321.99
1591.35,4901.47,7799959.24
1.00,10003.00,10011.50
1.00,12003.60,12013.80
2.00,10003.00,20023.00
2.00,12003.60,24027.60
2.00,800.24,1601.84
2.00,1200.36,2402.76
1.00,1400.42,1401.61
4.00,122454.07,490232.52
1.00,8002.40,8009.20
1.00,9002.70,9010.35
1.00,450.13,450.52
1.00,5001.50,5005.75
90.09,20003.00,1802069.86
2933.93,8001.20,23474963.44
483.48,9305.39,4498999.57
231.23,1440.22,333022.51
64.06,203.03,13006.94
4.00,10001.50,40046.00
4.00,10001.50,40046.00
4.00,10001.50,40046.00
2.00,12001.80,24027.60
4.00,900.13,3604.14
4.00,100.01,400.46
2.00,1400.21,2803.22
230.23,61469.10,14152028.90
140.14,2000.30,280321.98
1591.59,4900.73,7799959.06
1.00,10001.50,10011.50
1.00,12001.80,12013.80
2.00,10001.50,20023.00
2.00,12001.80,24027.60
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.70,490232.51
1.00,8001.20,8009.20
1.00,9001.35,9010.35
1.00,450.07,450.52
1.00,5000.75,5005.75
90.08,20006.00,1802069.82
2933.49,8002.40,23474962.91
483.41,9306.79,4498999.47
231.20,1440.43,333022.50
64.05,203.06,13006.94
4.00,10003.00,40046.00
4.00,10003.00,40046.00
4.00,10003.00,40046.00
2.00,12003.60,24027.60
4.00,900.27,3604.14
4.00,100.03,400.46
2.00,1400.42,2803.22
230.20,61478.32,14152028.58
140.12,2000.60,280321.97
1591.35,4901.47,7799958.89
1.00,10003.00,10011.50
1.00,12003.60,12013.80
2.00,10003.00,20023.00
2.00,12003.60,24027.60
2.00,800.24,1601.84
2.00,1200.36,2402.76
1.00,1400.42,1401.61
4.00,122454.07,490232.50
1.00,8002.40,8009.20
1.00,9002.70,9010.35
1.00,450.13,450.52
1.00,5001.50,5005.75
90.09,20003.00,1802069.78
2933.93,8001.20,23474962.38
483.48,9305.39,4498999.37
231.23,1440.22,333022.50
64.06,203.03,13006.94
4.00,10001.50,40046.00
4.00,10001.50,40046.00
4.00,10001.50,40046.00
2.00,12001.80,24027.60
4.00,900.13,3604.14
4.00,100.01,400.46
2.00,1400.21,2803.22
230.23,61469.10,14152028.26
140.14,2000.30,280321.97
1591.59,4900.73,7799958.71
1.00,10001.50,10011.50
1.00,12001.80,12013.80
2.00,10001.50,20023.00
2.00,12001.80,24027.60
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.70,490232.49
1.00,8001.20,8009.20
1.00,9001.35,9010.35
1.00,450.07,450.52
1.00,5000.75,5005.75
90.08,20006.00,1802069.74
2933.49,8002.40,23474961.85
483.41,9306.79,4498999.26
231.20,1440.43,333022.49
64.05,203.06,13006.94
4.00,10003.00,40045.99
4.00,10003.00,40045.99
4.00,10003.00,40045.99
2.00,12003.60,24027.60
4.00,900.27,3604.14
4.00,100.03,400.46
2.00,1400.42,2803.22
230.20,61478.32,14152027.94
140.12,2000.60,280321.96
1591.35,4901.47,7799958.54
1.00,10003.00,10011.50
1.00,12003.60,12013.80
2.00,10003.00,20023.00
2.00,12003.60,24027.60
2.00,800.24,1601.84
2.00,1200.36,2402.76
1.00,1400.42,1401.61
4.00,122454.07,490232.47
1.00,8002.40,8009.20
1.00,9002.70,9010.35
1.00,450.13,450.52
1.00,5001.50,5005.75
90.09,20003.00,1802069.70
2933.93,8001.20,23474961.32
483.48,9305.39,4498999.16
231.23,1440.22,333022.48
64.06,203.03,13006.94
4.00,10001.50,40045.99
4.00,10001.50,40045.99
4.00,10001.50,40045.99
2.00,12001.80,24027.60
4.00,900.13,3604.14
4.00,100.01,400.46
2.00,1400.21,2803.22
230.23,61469.10,14152027.62
140.14,2000.30,280321.95
1591.59,4900.73,7799958.36
1.00,10001.50,10011.50
1.00,12001.80,12013.80
2.00,10001.50,20023.00
2.00,12001.80,24027.60
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.70,490232.46
1.00,8001.20,8009.20
1.00,9001.35,9010.35
1.00,450.07,450.52
1.00,5000.75,5005.75
90.08,20006.00,1802069.66
2933.49,8002.40,23474960.79
483.41,9306.79,4498999.06
231.20,1440.43,333022.47
64.05,203.06,13006.94
4.00,10003.00,40045.99
4.00,10003.00,40045.99
4.00,10003.00,40045.99
2.00,12003.60,24027.60
4.00,900.27,3604.14
4.00,100.03,400.46
2.00,1400.42,2803.22
230.20,61478.32,14152027.31
140.12,2000.60,280321.95
1591.35,4901.47,7799958.19
1.00,10003.00,10011.50
1.00,12003.60,12013.80
2.00,10003.00,20023.00
2.00,12003.60,24027.60
2.00,800.24,1601.84
2.00,1200.36,2402.76
1.00,1400.42,1401.61
4.00,122454.06,490232.45
1.00,8002.40,8009.20
1.00,9002.70,9010.35
1.00,450.13,450.52
1.00,5001.50,5005.75
90.09,20003.00,1802069.62
2933.93,8001.20,23474960.27
483.48,9305.39,4498998.96
231.23,1440.22,333022.47
64.06,203.03,13006.94
4.00,10001.50,40045.99
4.00,10001.50,40045.99
4.00,10001.50,40045.99
2.00,12001.80,24027.59
4.00,900.13,3604.14
4.00,100.01,400.46
2.00,1400.21,2803.22
230.23,61469.09,14152026.99
140.14,2000.30,280321.94
1591.59,4900.73,7799958.01
1.00,10001.50,10011.50
1.00,12001.80,12013.80
2.00,10001.50,20023.00
2.00,12001.80,24027.59
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.70,490232.44
1.00,8001.20,8009.20
1.00,9001.35,9010.35
1.00,450.07,450.52
1.00,5000.75,5005.75
90.08,20006.00,1802069.58
2933.49,8002.40,23474959.74
483.41,9306.79,4498998.86
231.20,1440.43,333022.46
64.05,203.06,13006.94
4.00,10003.00,40045.99
4.00,10003.00,40045.99
4.00,10003.00,40045.99
2.00,12003.60,24027.59
4.00,900.27,3604.14
4.00,100.03,400.46
2.00,1400.42,2803.22
230.20,61478.31,14152026.67
140.12,2000.60,280321.93
1591.35,4901.47,7799957.84
1.00,10003.00,10011.50
1.00,12003.60,12013.80
2.00,10003.00,20023.00
2.00,12003.60,24027.59
2.00,800.24,1601.84
2.00,1200.36,2402.76
1.00,1400.42,1401.61
4.00,122454.06,490232.43
1.00,8002.40,8009.20
1.00,9002.70,9010.35
1.00,450.13,450.52
1.00,5001.50,5005.75
90.09,20003.00,1802069.54
2933.93,8001.20,23474959.21
483.48,9305.39,4498998.76
231.23,1440.22,333022.45
64.06,203.03,13006.94
4.00,10001.50,40045.99
4.00,10001.50,40045.99
4.00,10001.50,40045.99
2.00,12001.80,24027.59
4.00,900.13,3604.14
4.00,100.01,400.46
2.00,1400.21,2803.22
230.23,61469.09,14152026.35
140.14,2000.30,280321.93
1591.59,4900.73,7799957.66
1.00,10001.50,10011.50
1.00,12001.80,12013.80
2.00,10001.50,20022.99
2.00,12001.80,24027.59
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.69,490232.42
1.00,8001.20,8009.20
1.00,9001.35,9010.35
1.00,450.07,450.52
1.00,5000.75,5005.75
90.08,20006.00,1802069.50
2933.49,8002.40,23474958.68
483.41,9306.79,4498998.66
231.20,1440.43,333022.44
64.05,203.06,13006.94
4.00,10003.00,40045.99
4.00,10003.00,40045.99
4.00,10003.00,40045.99
2.00,12003.60,24027.59
4.00,900.27,3604.14
4.00,100.03,400.46
2.00,1400.42,2803.22
230.20,61478.31,14152026.03
140.12,2000.60,280321.92
1591.35,4901.47,7799957.48
1.00,10003.00,10011.50
1.00,12003.60,12013.80
2.00,10003.00,20022.99
2.00,12003.60,24027.59
2.00,800.24,1601.84
2.00,1200.36,2402.76
1.00,1400.42,1401.61
4.00,122454.06,490232.41
1.00,8002.40,8009.20
1.00,9002.70,9010.35
1.00,450.13,450.52
1.00,5001.50,5005.75
90.09,20003.00,1802069.46
2933.93,8001.20,23474958.15
483.48,9305.39,4498998.56
231.23,1440.22,333022.44
64.06,203.03,13006.94
4.00,10001.50,40045.99
4.00,10001.50,40045.99
4.00,10001.50,40045.99
2.00,12001.80,24027.59
4.00,900.13,3604.14
4.00,100.01,400.46
2.00,1400.21,2803.22
230.23,61469.09,14152025.71
140.14,2000.30,280321.92
1591.59,4900.73,7799957.31
1.00,10001.50,10011.50
1.00,12001.80,12013.80
2.00,10001.50,20022.99
2.00,12001.80,24027.59
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.69,490232.40
1.00,8001.20,8009.20
1.00,9001.35,9010.35
1.00,450.07,450.52
1.00,5000.75,5005.75
90.08,20006.00,1802069.42
2933.49,8002.40,23474957.63
483.41,9306.79,4498998.46
231.20,1440.43,333022.43
64.05,203.06,13006.94
4.00,10003.00,40045.99
4.00,10003.00,40045.99
4.00,10003.00,40045.99
2.00,12003.60,24027.59
4.00,900.27,3604.14
4.00,100.03,400.46
2.00,1400.42,2803.22
230.20,61478.31,14152025.39
140.12,2000.60,280321.91
1591.35,4901.47,7799957.13
1.00,10003.00,10011.50
1.00,12003.60,12013.80
2.00,10003.00,20022.99
2.00,12003.60,24027.59
2.00,800.24,1601.84
2.00,1200.36,2402.76
1.00,1400.42,1401.61
4.00,122454.06,490232.39
1.00,8002.40,8009.20
1.00,9002.70,9010.35
1.00,450.13,450.52
1.00,5001.50,5005.75
90.09,20003.00,1802069.38
2933.93,8001.20,23474957.10
483.48,9305.39,4498998.35
231.23,1440.22,333022.42
64.06,203.03,13006.94
4.00,10001.50,40045.99
4.00,10001.50,40045.99
4.00,10001.50,40045.99
2.00,12001.80,24027.59
4.00,900.13,3604.14
4.00,100.01,400.46
2.00,1400.21,2803.22
230.23,61469.09,14152025.08
140.14,2000.30,280321.90
1591.59,4900.73,7799956.96
1.00,10001.50,10011.50
1.00,12001.80,12013.80
2.00,10001.50,20022.99
2.00,12001.80,24027.59
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.69,490232.38
1.00,8001.20,8009.20
1.00,9001.35,9010.35
1.00,450.07,450.52
1.00,5000.75,5005.75
90.08,20006.00,1802069.34
2933.49,8002.40,23474956.57
483.41,9306.79,4498998.25
231.20,1440.43,333022.41
64.05,203.06,13006.94
4.00,10003.00,40045.99
4.00,10003.00,40045.99
4.00,10003.00,40045.99
2.00,12003.60,24027.59
4.00,900.27,3604.14
4.00,100.03,400.46
2.00,1400.42,2803.22
230.20,61478.31,14152024.76
140.12,2000.60,280321.90
1591.35,4901.47,7799956.78
1.00,10003.00,10011.50
1.00,12003.60,12013.80
2.00,10003.00,20022.99
2.00,12003.60,24027.59
2.00,800.24,1601.84
2.00,1200.36,2402.76
1.00,1400.42,1401.61
4.00,122454.05,490232.36
1.00,8002.40,8009.20
1.00,9002.70,9010.35
1.00,450.13,450.52
1.00,5001.50,5005.75
90.09,20002.99,1802069.30
2933.93,8001.20,23474956.04
483.48,9305.39,4498998.15
231.23,1440.22,333022.41
64.06,203.03,13006.94
4.00,10001.50,40045.98
4.00,10001.50,40045.98
4.00,10001.50,40045.98
2.00,12001.80,24027.59
4.00,900.13,3604.14
4.00,100.01,400.46
2.00,1400.21,2803.22
230.23,61469.09,14152024.44
140.14,2000.30,280321.89
1591.59,4900.73,7799956.61
1.00,10001.50,10011.50
1.00,12001.80,12013.80
2.00,10001.50,20022.99
2.00,12001.80,24027.59
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.69,490232.35
1.00,8001.20,8009.20
1.00,9001.35,9010.35
1.00,450.07,450.52
1.00,5000.75,5005.75
90.08,20006.00,1802069.26
2933.49,8002.40,23474955.51
483.41,9306.79,4498998.05
231.20,1440.43,333022.40
64.05,203.06,13006.94
4.00,10003.00,40045.98
4.00,10003.00,40045.98
4.00,10003.00,40045.98
2.00,12003.60,24027.59
4.00,900.27,3604.14
4.00,100.03,400.46
2.00,1400.42,2803.22
230.20,61478.31,14152024.12
140.12,2000.60,280321.88
1591.35,4901.47,7799956.43
1.00,10003.00,10011.50
1.00,12003.60,12013.80
2.00,10003.00,20022.99
2.00,12003.60,24027.59
2.00,800.24,1601.84
2.00,1200.36,2402.76
1.00,1400.42,1401.61
4.00,122454.05,490232.34
1.00,8002.40,8009.20
1.00,9002.70,9010.35
1.00,450.13,450.52
1.00,5001.50,5005.75
90.09,20002.99,1802069.22
2933.93,8001.20,23474954.98
483.48,9305.39,4498997.95
231.23,1440.22,333022.39
64.06,203.03,13006.94
4.00,10001.50,40045.98
4.00,10001.50,40045.98
4.00,10001.50,40045.98
2.00,12001.80,24027.59
4.00,900.13,3604.14
4.00,100.01,400.46
2.00,1400.21,2803.22
230.23,61469.09,14152023.80
140.14,2000.30,280321.88
1591.59,4900.73,7799956.26
1.00,10001.50,10011.50
1.00,12001.80,12013.79
2.00,10001.50,20022.99
2.00,12001.80,24027.59
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.68,490232.33
1.00,8001.20,8009.20
1.00,9001.35,9010.35
1.00,450.07,450.52
1.00,5000.75,5005.75
90.08,20005.99,1802069.18
2933.49,8002.40,23474954.46
483.41,9306.79,4498997.85
231.20,1440.43,333022.38
64.05,203.06,13006.93
4.00,10003.00,40045.98
4.00,10003.00,40045.98
4.00,10003.00,40045.98
2.00,12003.60,24027.59
4.00,900.27,3604.14
4.00,100.03,400.46
2.00,1400.42,2803.22
230.20,61478.31,14152023.48
140.12,2000.60,280321.87
1591.35,4901.47,7799956.08
1.00,10003.00,10011.50
1.00,12003.60,12013.79
2.00,10003.00,20022.99
2.00,12003.60,24027.59
2.00,800.24,1601.84
2.00,1200.36,2402.76
1.00,1400.42,1401.61
4.00,122454.05,490232.32
1.00,8002.40,8009.20
1.00,9002.70,9010.35
1.00,450.13,450.52
1.00,5001.50,5005.75
90.09,20002.99,1802069.13
2933.93,8001.20,23474953.93
483.48,9305.39,4498997.75
231.23,1440.22,333022.38
64.06,203.03,13006.93
4.00,10001.50,40045.98
4.00,10001.50,40045.98
4.00,10001.50,40045.98
2.00,12001.80,24027.59
4.00,900.13,3604.14
4.00,100.01,400.46
2.00,1400.21,2803.22
230.23,61469.09,14152023.17
140.14,2000.30,280321.87
1591.59,4900.73,7799955.90
1.00,10001.50,10011.50
1.00,12001.80,12013.79
2.00,10001.50,20022.99
2.00,12001.80,24027.59
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.68,490232.31
1.00,8001.20,8009.20
1.00,9001.35,9010.35
1.00,450.07,450.52
1.00,5000.75,5005.75
90.08,20005.99,1802069.09
2933.49,8002.40,23474953.40
483.41,9306.79,4498997.65
231.20,1440.43,333022.37
64.05,203.06,13006.93
4.00,10003.00,40045.98
4.00,10003.00,40045.98
4.00,10003.00,40045.98
2.00,12003.60,24027.59
4.00,900.27,3604.14
4.00,100.03,400.46
2.00,1400.42,2803.22
230.20,61478.31,14152022.85
140.12,2000.60,280321.86
1591.35,4901.47,7799955.73
1.00,10003.00,10011.49
1.00,12003.60,12013.79
2.00,10003.00,20022.99
2.00,12003.60,24027.59
2.00,800.24,1601.84
2.00,1200.36,2402.76
1.00,1400.42,1401.61
4.00,122454.05,490232.30
1.00,8002.40,8009.20
1.00,9002.70,9010.35
1.00,450.13,450.52
1.00,5001.50,5005.75
90.09,20002.99,1802069.05
2933.93,8001.20,23474952.87
483.48,9305.39,4498997.54
231.23,1440.22,333022.36
64.06,203.03,13006.93
4.00,10001.50,40045.98
4.00,10001.50,40045.98
4.00,10001.50,40045.98
2.00,12001.80,24027.59
4.00,900.13,3604.14
4.00,100.01,400.46
2.00,1400.21,2803.22
230.23,61469.08,14152022.53
140.14,2000.30,280321.85
1591.59,4900.73,7799955.55
1.00,10001.50,10011.49
1.00,12001.80,12013.79
2.00,10001.50,20022.99
2.00,12001.80,24027.59
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.68,490232.29
1.00,8001.20,8009.20
1.00,9001.35,9010.35
1.00,450.07,450.52
1.00,5000.75,5005.75
90.08,20005.99,1802069.01
2933.49,8002.40,23474952.34
483.41,9306.79,4498997.44
231.20,1440.43,333022.35
64.05,203.06,13006.93
4.00,10003.00,40045.98
4.00,10003.00,40045.98
4.00,10003.00,40045.98
2.00,12003.60,24027.59
4.00,900.27,3604.14
4.00,100.03,400.46
2.00,1400.42,2803.22
230.20,61478.30,14152022.21
140.12,2000.60,280321.85
1591.35,4901.47,7799955.38
1.00,10003.00,10011.49
1.00,12003.60,12013.79
2.00,10003.00,20022.99
2.00,12003.60,24027.59
2.00,800.24,1601.84
2.00,1200.36,2402.76
1.00,1400.42,1401.61
4.00,122454.04,490232.28
1.00,8002.40,8009.20
1.00,9002.70,9010.35
1.00,450.13,450.52
1.00,5001.50,5005.75
90.09,20002.99,1802068.97
2933.93,8001.20,23474951.82
483.48,9305.39,4498997.34
231.23,1440.22,333022.35
64.06,203.03,13006.93
4.00,10001.50,40045.98
4.00,10001.50,40045.98
4.00,10001.50,40045.98
2.00,12001.80,24027.59
4.00,900.13,3604.14
4.00,100.01,400.46
2.00,1400.21,2803.22
230.23,61469.08,14152021.89
140.14,2000.30,280321.84
1591.59,4900.73,7799955.20
1.00,10001.50,10011.49
1.00,12001.80,12013.79
2.00,10001.50,20022.99
2.00,12001.80,24027.59
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.67,490232.26
1.00,8001.20,8009.20
1.00,9001.35,9010.34
1.00,450.07,450.52
1.00,5000.75,5005.75
90.08,20005.99,1802068.93
2933.49,8002.40,23474951.29
483.41,9306.79,4498997.24
231.20,1440.43,333022.34
64.05,203.06,13006.93
4.00,10003.00,40045.98
4.00,10003.00,40045.98
4.00,10003.00,40045.98
2.00,12003.60,24027.59
4.00,900.27,3604.14
4.00,100.03,400.46
2.00,1400.42,2803.22
230.20,61478.30,14152021.57
140.12,2000.60,280321.83
1591.35,4901.47,7799955.03
1.00,10003.00,10011.49
1.00,12003.60,12013.79
2.00,10003.00,20022.99
2.00,12003.60,24027.59
2.00,800.24,1601.84
2.00,1200.36,2402.76
1.00,1400.42,1401.61
4.00,122454.04,490232.25
1.00,8002.40,8009.20
1.00,9002.70,9010.34
1.00,450.13,450.52
1.00,5001.50,5005.75
90.09,20002.99,1802068.89
2933.93,8001.20,23474950.76
483.48,9305.39,4498997.14
231.23,1440.22,333022.33
64.06,203.03,13006.93
4.00,10001.50,40045.98
4.00,10001.50,40045.98
4.00,10001.50,40045.98
2.00,12001.80,24027.59
4.00,900.13,3604.14
4.00,100.01,400.46
2.00,1400.21,2803.22
230.23,61469.08,14152021.26
140.14,2000.30,280321.83
1591.59,4900.73,7799954.85
1.00,10001.50,10011.49
1.00,12001.80,12013.79
2.00,10001.50,20022.99
2.00,12001.80,24027.59
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.67,490232.24
1.00,8001.20,8009.20
1.00,9001.35,9010.34
1.00,450.07,450.52
1.00,5000.75,5005.75
90.08,20005.99,1802068.85
2933.49,8002.40,23474950.23
483.41,9306.79,4498997.04
231.20,1440.43,333022.32
64.05,203.06,13006.93
4.00,10003.00,40045.97
4.00,10003.00,40045.97
4.00,10003.00,40045.97
2.00,12003.60,24027.58
4.00,900.27,3604.14
4.00,100.03,400.46
2.00,1400.42,2803.22
230.20,61478.30,14152020.94
140.12,2000.60,280321.82
1591.35,4901.47,7799954.68
1.00,10003.00,10011.49
1.00,12003.60,12013.79
2.00,10003.00,20022.99
2.00,12003.60,24027.58
2.00,800.24,1601.84
2.00,1200.36,2402.76
1.00,1400.42,1401.61
4.00,122454.04,490232.23
1.00,8002.40,8009.19
1.00,9002.70,9010.34
1.00,450.13,450.52
1.00,5001.50,5005.75
90.09,20002.99,1802068.81
2933.93,8001.20,23474949.70
483.48,9305.39,4498996.94
231.23,1440.22,333022.32
64.06,203.03,13006.93
4.00,10001.50,40045.97
4.00,10001.50,40045.97
4.00,10001.50,40045.97
2.00,12001.80,24027.58
4.00,900.13,3604.14
4.00,100.01,400.46
2.00,1400.21,2803.22
230.23,61469.08,14152020.62
140.14,2000.30,280321.81
1591.59,4900.73,7799954.50
1.00,10001.50,10011.49
1.00,12001.80,12013.79
2.00,10001.50,20022.99
2.00,12001.80,24027.58
2.00,800.12,1601.84
2.00,1200.18,2402.76
1.00,1400.21,1401.61
4.00,122435.67,490232.22
1.00,8001.20,8009.19
1.00,9001.35,9010.34
1.00,450.07,450.52
